                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.6435,                  1.029,                 1.2731,                0.57588,                0.85895,                0.68146,                0.61871,                0.41616,                0.75254,                  1.142,               0.003268,               0.003268,               0.003268
                     36,                0.62848,                 1.0082,                 1.2591,                0.60571,                0.67112,                0.66002,                0.58576,                0.44396,                0.72502,                 1.1894,                0.00307,                0.00307,                0.00307
                     37,                0.64567,                 1.0063,                 1.2687,                0.55827,                0.78524,                0.68903,                0.62181,                0.41279,                0.70521,                 1.1321,               0.002872,               0.002872,               0.002872
                     38,                0.64571,                0.98127,                 1.2658,                0.60511,                0.67444,                0.65655,                0.59572,                0.41394,                0.70198,                 1.1426,               0.002674,               0.002674,               0.002674
                     39,                0.62493,                0.97189,                 1.2499,                0.62396,                0.66993,                0.67926,                 0.6236,                0.40219,                0.68066,                  1.129,               0.002476,               0.002476,               0.002476
                     40,                0.42836,                0.83976,                 1.1859,                0.63205,                0.77174,                0.71354,                0.63458,                0.43389,                0.70539,                 1.1552,               0.002278,               0.002278,               0.002278
                     41,                0.39464,                0.78558,                 1.1443,                0.78924,                0.68928,                0.75888,                0.69052,                0.40378,                 0.6982,                 1.1347,                0.00208,                0.00208,                0.00208
                     42,                0.40873,                0.82542,                 1.1719,                0.53551,                0.78687,                0.66808,                0.60809,                0.37604,                0.75405,                 1.0908,               0.001882,               0.001882,               0.001882
                     43,                0.36068,                0.72943,                 1.1204,                0.58351,                0.81515,                0.74512,                0.68209,                0.38704,                0.69097,                  1.103,               0.001684,               0.001684,               0.001684
                     44,                0.36852,                0.76377,                 1.1198,                0.69589,                0.60653,                0.64706,                 0.6005,                0.36364,                0.80494,                 1.0769,               0.001486,               0.001486,               0.001486
                     45,                0.35413,                0.68702,                 1.1097,                0.67393,                 0.7801,                0.76089,                0.70532,                0.34614,                0.61015,                 1.0563,               0.001288,               0.001288,               0.001288
                     46,                0.34897,                0.66603,                 1.1057,                0.66556,                0.84778,                0.78715,                0.73235,                0.34349,                0.57836,                 1.0474,                0.00109,                0.00109,                0.00109
                     47,                0.34928,                0.69145,                 1.1072,                0.67264,                0.84977,                0.78715,                0.73874,                0.33401,                0.56723,                  1.041,               0.000892,               0.000892,               0.000892
                     48,                0.34149,                0.68341,                 1.1036,                0.67302,                0.82111,                0.79076,                0.72915,                0.33956,                0.55284,                 1.0406,               0.000694,               0.000694,               0.000694
                     49,                0.33052,                0.65888,                 1.0686,                0.66472,                0.86453,                 0.7883,                0.73651,                0.32948,                0.54337,                 1.0352,               0.000496,               0.000496,               0.000496
